sourceId,sourceProductId,legacyUrl,sourceFile,sourcePageType,sourceType,displayedName,pageTitle,heading,detectedCategory,detectedCollection,imageReferenceCount,descriptionFound,specificationFound,sourceStatus,price,handle
SRC-0270,57337023,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典女戒.html,HTML,productImpressions,戀戀星語｜Starlit Murmurs,經典女戒 鑽之韻,,經典女戒,經典女戒,0,false,false,列表重複,26000,
SRC-0549,57337023,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/ring-female.html,系列頁,productImpressions,戀戀星語｜Starlit Murmurs,女士鑽戒 鑽之韻,,ring-female,ring-female,0,false,false,列表重複,26000,
SRC-0593,57337023,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,window.c12t,戀戀星語｜Starlit Murmurs,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,有效,26000.0,
SRC-0603,57337023,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,戀戀星語｜Starlit Murmurs,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,列表重複,26000.0,
SRC-0104,57337024,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/ring-female.html,HTML,productImpressions,心耀之環｜Brilliant Embrace,女士鑽戒 鑽之韻,,ring-female,ring-female,0,false,false,列表重複,25000,
SRC-0183,57337024,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,window.c12t,心耀之環｜Brilliant Embrace,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,有效,25000.0,
SRC-0193,57337024,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,心耀之環｜Brilliant Embrace,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,列表重複,25000.0,
SRC-0267,57337024,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典女戒.html,HTML,productImpressions,心耀之環｜Brilliant Embrace,經典女戒 鑽之韻,,經典女戒,經典女戒,0,false,false,列表重複,25000,
SRC-0546,57337024,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/ring-female.html,系列頁,productImpressions,心耀之環｜Brilliant Embrace,女士鑽戒 鑽之韻,,ring-female,ring-female,0,false,false,列表重複,25000,
SRC-0591,57337024,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,window.c12t,心耀之環｜Brilliant Embrace,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,有效,25000.0,
SRC-0601,57337024,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,心耀之環｜Brilliant Embrace,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,列表重複,25000.0,
SRC-0202,57337025,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,晨曦心語｜Whisper of Dawn,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,25000,
SRC-0610,57337025,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,晨曦心語｜Whisper of Dawn,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,25000,
SRC-0210,57337026,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,璀璨星語｜Sparkling Whisper,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,58000,
SRC-0618,57337026,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,璀璨星語｜Sparkling Whisper,求婚戒指 鑽之韻,,求婚,求婚,0,false,false,列表重複,58000,
SRC-0105,57337027,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/ring-female.html,HTML,productImpressions,心鑽交織｜Eternal Entwine,女士鑽戒 鑽之韻,,ring-female,ring-female,0,false,false,列表重複,28000,
SRC-0184,57337027,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,window.c12t,心鑽交織｜Eternal Entwine,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,有效,28000.0,
SRC-0194,57337027,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,心鑽交織｜Eternal Entwine,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,列表重複,28000.0,
SRC-0268,57337027,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典女戒.html,HTML,productImpressions,心鑽交織｜Eternal Entwine,經典女戒 鑽之韻,,經典女戒,經典女戒,0,false,false,列表重複,28000,
SRC-0547,57337027,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/ring-female.html,系列頁,productImpressions,心鑽交織｜Eternal Entwine,女士鑽戒 鑽之韻,,ring-female,ring-female,0,false,false,列表重複,28000,
SRC-0592,57337027,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,window.c12t,心鑽交織｜Eternal Entwine,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,有效,28000.0,
SRC-0602,57337027,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,心鑽交織｜Eternal Entwine,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,列表重複,28000.0,
SRC-0187,57337028,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,window.c12t,星芒之約｜Stellar Promise,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,有效,35000.0,
SRC-0197,57337028,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/求婚.html,HTML,productImpressions,星芒之約｜Stellar Promise,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,列表重複,35000.0,
SRC-0595,57337028,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,window.c12t,星芒之約｜Stellar Promise,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,有效,35000.0,
SRC-0605,57337028,,../dsdiamond_backup/site/www.dsdiamond.com.tw/zh-TW/collections/求婚.html,系列頁,productImpressions,星芒之約｜Stellar Promise,求婚戒指 鑽之韻,,求婚戒指,求婚,0,false,false,列表重複,35000.0,
SRC-0077,57337029,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/ring-female.html,HTML,window.c12t,三生之約｜Trilogy Vow,女士鑽戒 鑽之韻,,女士鑽戒,ring-female,0,false,false,有效,115000.0,
SRC-0087,57337029,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/ring-female.html,HTML,productImpressions,三生之約｜Trilogy Vow,女士鑽戒 鑽之韻,,女士鑽戒,ring-female,0,false,false,列表重複,115000.0,
SRC-0240,57337029,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典女戒.html,HTML,window.c12t,三生之約｜Trilogy Vow,經典女戒 鑽之韻,,經典女戒,經典女戒,0,false,false,有效,115000.0,
SRC-0250,57337029,,../dsdiamond_backup/site/www.dsdiamond.com.tw/collections/經典女戒.html,HTML,productImpressions,三生之約｜Trilogy Vow,經典女戒 鑽之韻,,經典女戒,經典女戒,0,false,false,列表重複,115000.0,
SRC-0353,57337029,https://www.dsdiamond.com.tw/products/女戒14,../dsdiamond_backup/site/www.dsdiamond.com.tw/index.html,HTML,products-json,三生之約｜Trilogy Vow,鑽之韻 Diamond Symphony,心金不渝｜Golden Vow,,,4,false,false,有效,115000,女戒14
