legacyProductId,legacyCyberbizId,productName,englishName,originalDisplayName,legacyUrls,sourceIds,productType,collection,category,variantType,parentProductId,originalDescription,originalSpecifications,expectedImageCount,detectedImageReferences,downloadedImageCount,astroSlug,currentAstroFile,migrationStatus,reviewStatus,notes
DSP-0096,61547518,曖曖之心,Tender Glow,曖曖之心｜Tender Glow,,SRC-0203 | SRC-0611,戒指,求婚,戒指,,,,,0,0,0,tender-glow,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0097,58401379,璨淚光華,Tear of Brilliance,璨淚光華｜Tear of Brilliance,,SRC-0057 | SRC-0499,項鍊,necklace,項鍊,,,,,0,0,0,tear-of-brilliance,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0098,57339003,曜映之環,Radiant Bond,曜映之環｜Radiant Bond,,SRC-0065 | SRC-0072 | SRC-0507 | SRC-0514,對戒,pair-ring,結婚對戒,,,,,0,0,0,radiant-bond,src/content/products/radiant-bond.json,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0099,63611662,曜域方璨,Monolith Brilliance,曜域方璨｜Monolith Brilliance,https://www.dsdiamond.com.tw/products/monolith-brilliance-dsdiamond,SRC-0130 | SRC-0281 | SRC-0291 | SRC-0372 | SRC-0421 | SRC-0450 | SRC-0572 | SRC-0640,男戒,ring-man | 經典男戒,經典男戒,,,,,4,4,4,monolith-brilliance,,產品圖片已備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0100,58811257,曜域光序,Radiant Domain Halo,曜域光序｜Radiant Domain Halo,,SRC-0169 | SRC-0209 | SRC-0339 | SRC-0348 | SRC-0617,戒指,彩色鑽石專區 | 求婚 | 黃鑽,黃鑽,,,,,0,0,0,radiant-domain-halo,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0101,59069391,織夢華語,Woven Dream,織夢華語｜ Woven Dream,,SRC-0173 | SRC-0233,戒指,彩色鑽石專區 | 粉鑽,戒指,,,,,0,0,0,woven-dream,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0102,58323371,藍曜花冕,Azure Bloom Halo,藍曜花冕｜Azure Bloom Halo,https://www.dsdiamond.com.tw/products/azure-bloom-halo-colored-diamond,SRC-0085 | SRC-0095 | SRC-0144 | SRC-0154 | SRC-0248 | SRC-0258 | SRC-0300 | SRC-0305 | SRC-0361 | SRC-0410 | SRC-0439 | SRC-0527 | SRC-0537 | SRC-0629,戒指,ring-female | 彩色鑽石專區 | 經典女戒 | 藍鑽,女士鑽戒 | 彩色鑽石專區 | 經典女戒 | 藍鑽,,,,,4,4,4,azure-bloom-halo,src/content/products/azure-bloom-halo.json,產品圖片已備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0103,57337047,藍戀花冠,Blue Crown of Love,藍戀花冠｜Blue Crown of Love,,SRC-0174 | SRC-0304 | SRC-0309,戒指,彩色鑽石專區 | 藍鑽,藍鑽,,,,,0,0,0,blue-crown-of-love,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0104,58811303,鎏光華紋,Regal Radiance,鎏光華紋｜Regal Radiance,,SRC-0141 | SRC-0299 | SRC-0583,男戒,ring-man | 經典男戒,男戒,,,,,0,0,0,regal-radiance,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0105,64733998,雙心守護,Double Heart Embrace,雙心守護｜Double Heart Embrace,,SRC-0237,戒指,粉鑽,戒指,,,,,0,0,0,double-heart-embrace,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0106,64735696,離心誓約,Fine Jewelry Ring,離心誓約｜Fine Jewelry Ring,,SRC-0388 | SRC-0398,待確認,,"女士鑽戒, 經典女戒",,,,,0,0,0,fine-jewelry-ring,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0107,58093838,權杖紋章,Scepter Crest,權杖紋章｜Scepter Crest,https://www.dsdiamond.com.tw/products/男戒14,SRC-0133 | SRC-0294 | SRC-0375 | SRC-0424 | SRC-0453 | SRC-0575 | SRC-0643,男戒,ring-man | 經典男戒,男戒,材質/排數變體,,,,4,4,4,scepter-crest,,產品圖片已備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0108,57338471,權境之環,Sovereign Realm,權境之環｜Sovereign Realm,https://www.dsdiamond.com.tw/products/男戒03,SRC-0132 | SRC-0293 | SRC-0374 | SRC-0423 | SRC-0452 | SRC-0574 | SRC-0642,男戒,ring-man | 經典男戒,男戒,,,,,4,4,4,sovereign-realm,,產品圖片已備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0109,57338479,權耀之環,Dominion Halo,權耀之環｜Dominion Halo,,SRC-0134 | SRC-0164 | SRC-0295 | SRC-0337 | SRC-0346 | SRC-0576,男戒,ring-man | 彩色鑽石專區 | 經典男戒 | 黃鑽,黃鑽,,,,,0,0,0,dominion-halo,src/content/products/dominion-halo.json,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0110,66872044,戀光之心,Blush Halo Promise,戀光之心｜Blush Halo Promise,,SRC-0106 | SRC-0216 | SRC-0226 | SRC-0269 | SRC-0383 | SRC-0393 | SRC-0548,戒指,ring-female | 粉鑽 | 經典女戒,"粉鑽 | 女士鑽戒, 經典女戒, 粉鑽",,,,,0,0,0,blush-halo-promise,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
DSP-0111,57337023,戀戀星語,Starlit Murmurs,戀戀星語｜Starlit Murmurs,,SRC-0107 | SRC-0185 | SRC-0195 | SRC-0270 | SRC-0549 | SRC-0593 | SRC-0603,戒指,ring-female | 求婚 | 經典女戒,求婚戒指,,,,,0,0,0,starlit-murmurs,,產品圖片部分備份,待 Media Migration Auditor 驗收,舊列表 JSON 未提供完整介紹；需產品詳細頁補齊。
